Rank,Release Group,Worldwide,Domestic,%,Foreign,%
123,Star Wars: Episode I - The Phantom Menace 2024 Re-release,"$19,429,994","$13,029,994",67.1%,"$6,400,000",32.9%
124,Face Off 7: One Wish,"$19,353,760",-,-,"$19,353,760",100%
125,Golden Kamuy,"$19,077,748",-,-,"$19,077,748",100%
126,Escape,"$18,456,373","$259,242",1.4%,"$18,197,131",98.6%
127,Doctor X: The Movie,"$18,353,324",-,-,"$18,353,324",100%
128,Cocorico,"$18,259,571",-,-,"$18,259,571",100%
129,The Apprentice,"$17,279,457","$4,001,904",23.2%,"$13,277,553",76.8%
130,Twilight of the Warriors: Walled In,"$17,115,806","$336,023",2%,"$16,779,783",98%
131,Never Let Go,"$16,573,225","$10,306,106",62.2%,"$6,267,119",37.8%
132,10 Lives,"$16,404,572",-,-,"$16,404,572",100%
133,Kinds of Kindness,"$16,398,509","$5,038,931",30.7%,"$11,359,578",69.3%
134,Diamanti,"$16,346,679",-,-,"$16,346,679",100%
135,The Room Next Door,"$16,079,521","$2,359,003",14.7%,"$13,720,518",85.3%
136,Flow,"$16,038,125","$4,097,307",25.5%,"$11,940,818",74.5%
137,Guest from the Future,"$15,900,290",-,-,"$15,900,290",100%
138,Here,"$15,816,592","$12,237,270",77.4%,"$3,579,322",22.6%
139,Late Night with the Devil,"$15,469,415","$10,001,000",64.7%,"$5,468,415",35.3%
140,Kleks Academy,"$15,348,026",-,-,"$15,348,026",100%
141,Interstellar 2025 Re-release,"$15,300,000",-,-,"$15,300,000",100%
142,Monsieur Aznavour,"$15,242,215",-,-,"$15,242,215",100%
143,Emilia Pérez,"$14,944,084",-,-,"$14,944,084",100%
144,Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,"$14,930,415",-,-,"$14,930,415",100%
145,The Chosen: S4 Episodes 1-3,"$14,873,918","$14,409,169",96.9%,"$464,749",3.1%
146,Father There is Only One 4,"$14,668,098",-,-,"$14,668,098",100%
147,Hijack 1971,"$14,602,614","$242,069",1.7%,"$14,360,545",98.3%
148,Handsome Guys,"$14,439,610",-,-,"$14,439,610",100%
149,Megalopolis,"$14,315,990","$7,629,085",53.3%,"$6,686,905",46.7%
150,Blue Lock: Episode Nagi,"$14,291,561","$1,855,384",13%,"$12,436,177",87%
151,Article 370,"$13,222,021","$1,088,790",8.2%,"$12,133,231",91.8%
152,Yolki 11,"$13,213,815",-,-,"$13,213,815",100%
153,Niko: Beyond the Northern Lights,"$13,114,473",-,-,"$13,114,473",100%
154,Afraid,"$12,977,758","$6,725,687",51.8%,"$6,252,071",48.2%
155,Letuchiy korabl,"$12,886,684",-,-,"$12,886,684",100%
156,Love Lies Bleeding,"$12,778,225","$8,335,797",65.2%,"$4,442,428",34.8%
157,Look Back,"$12,646,317","$2,002,270",15.8%,"$10,644,047",84.2%
158,Thelma,"$12,634,582","$9,002,073",71.2%,"$3,632,509",28.8%
159,The Exorcism,"$12,610,418","$4,530,418",35.9%,"$8,080,000",64.1%
160,Am I Racist?,"$12,311,598","$12,311,598",100%,-,-
161,Bonhoeffer,"$12,235,212","$12,219,364",99.9%,"$15,848",0.1%
162,Maria,"$12,211,550",-,-,"$12,211,550",100%
163,Muroi Shinji: Not Defeated,"$12,121,760",-,-,"$12,121,760",100%
164,Citizen of a Kind,"$11,976,305",-,-,"$11,976,305",100%
165,The Enchanted Tinderbox,"$11,737,506",-,-,"$11,737,506",100%
166,Sound of Hope: The Story of Possum Trot,"$11,721,425","$11,647,099",99.4%,"$74,326",0.6%
167,Attack on Titan the Movie: The Last Attack,"$11,440,213","$2,542,707",22.2%,"$8,897,506",77.8%
168,Maison de retraite 2,"$11,227,393",-,-,"$11,227,393",100%
169,A Million Minutes,"$11,077,140",-,-,"$11,077,140",100%
170,The Lord of the Rings: The Return of the King 2024 Re-release,"$11,075,466","$2,450,927",22.1%,"$8,616,210",77.8%
171,Domovyonok Kuzya,"$11,045,295",-,-,"$11,045,295",100%
172,Alienoid: The Return to the Future,"$10,824,208","$60,720",0.6%,"$10,763,488",99.4%
173,Small Things Like These,"$10,787,105","$1,600,956",14.8%,"$9,186,149",85.2%
174,Jung Kook: I Am Still,"$10,763,217","$2,574,318",23.9%,"$8,188,899",76.1%
175,Cat and Dog,"$10,740,923",-,-,"$10,740,923",100%
176,Piece by Piece,"$10,658,736","$9,756,635",91.5%,"$902,101",8.5%
177,One Direction: This Is Us 2024 Re-release,"$10,452,473","$263,511",2.5%,"$10,188,962",97.5%
178,Mrs. Green Apple: The White Lounge,"$10,337,403",-,-,"$10,337,403",100%
179,Rafadan Tayfa: Kapadokya,"$10,194,441",-,-,"$10,194,441",100%
180,All About Suomi,"$10,176,530",-,-,"$10,176,530",100%
181,Muroi Shinji: Ikitsuzukeru Mono,"$10,174,418",-,-,"$10,174,418",100%
182,Saturday Night,"$10,029,741","$9,511,315",94.8%,"$518,426",5.2%
183,Parthenope,"$9,961,613","$31,906",0.3%,"$9,929,707",99.7%
184,The Boy with Pink Trousers,"$9,961,527",-,-,"$9,961,527",100%
185,Der Spitzname,"$9,959,269",-,-,"$9,959,269",100%
186,Lisa Frankenstein,"$9,927,714","$9,774,285",98.5%,"$153,429",1.5%
187,Io e te dobbiamo parlare,"$9,886,115",-,-,"$9,886,115",100%
188,Listy do M. Pozegnania i powroty,"$9,782,064",-,-,"$9,782,064",100%
189,Ruki vverkh!,"$9,750,460",-,-,"$9,750,460",100%
190,The Chosen: S4 Episodes 4-6,"$9,482,744","$9,482,744",100%,-,-
191,A Smile Doesn't Lie,"$9,211,570",-,-,"$9,211,570",100%
192,Onegin,"$9,201,680",-,-,"$9,201,680",100%
193,Abudeka Is Back,"$9,163,586",-,-,"$9,163,586",100%
194,Undercover,"$8,911,184",-,-,"$8,911,184",100%
195,Lohusa,"$8,809,952",-,-,"$8,809,952",100%
196,Les boules de Noël,"$8,804,443",-,-,"$8,804,443",100%
197,White Bird,"$8,802,150","$5,069,171",57.6%,"$3,732,979",42.4%
198,Following,"$8,798,081",-,-,"$8,798,081",100%
199,Uma Musume: Pretty Derby - Beginning of a New Era,"$8,551,637",-,-,"$8,551,637",100%
200,Dear Family,"$8,528,605",-,-,"$8,528,605",100%
